231889,231889,231889
231889,231889,231889
231889,231889,231889
231889,231889,231889
231889,231889,231889
231889,231889,231889
231889,231889,231889
032847,032847,032847
032847,032847,032847
032847,032847,032847
032847,032847,032847
013401,013401,013401
013401,013401,013401
013401,013401,013401
148447,148447,148447
148447,148447,148447
013401,013401,013401
608364,608364,608364
608364,608364,608364
013401,013401,013401
013401,013401,013401
215438,215438,215438
215438,215438,215438
183555,183555,183555
204531,204531,204531
204531,204531,204531
227147,227147,227147
204531,204531,204531
204531,204531,204531
606632,606632,606632
227147,227147,227147
204531,204531,204531
183555,183555,183555
204531,204531,204531
223373,223373,223373
204531,204531,204531
232204,232204,232204
193063,193063,193063
232204,232204,232204
219972,219972,219972
237554,237554,237554
237554,237554,237554
237554,237554,237554
232204,232204,232204
237554,237554,237554
237554,237554,237554
237554,237554,237554
237554,237554,237554
237554,237554,237554
237554,237554,237554
232204,232204,232204
232204,232204,232204
193063,193063,193063
237554,237554,237554
237554,237554,237554
232204,232204,232204
219972,219972,219972
237554,237554,237554
148447,148447,148447
013401,013401,013401
608851,608851,608851
608851,608851,608851
608364,608364,608364
148447,148447,148447
215538,215538,215538
214371,214371,214371
013401,013401,013401
214371,214371,214371
012946,012946,012946
214834,214834,214834
212161,212161,212161
212161,212161,212161
038506,038506,038506
212161,212161,212161
072825,072825,072825
013401,013401,013401
204403,204403,204403
204403,204403,204403
608851,608851,608851
204403,204403,204403
193063,193063,193063
232204,232204,232204
193063,193063,193063
193063,193063,193063
231889,231889,231889
231889,231889,231889
223373,223373,223373
223373,223373,223373
016681,016681,016681
016681,016681,016681
016681,016681,016681
016681,016681,016681
016681,016681,016681
212304,212304,212304
212304,212304,212304
038506,038506,038506
212304,212304,212304
032489,032489,032489
212161,212161,212161
032489,032489,032489
038506,038506,038506
116363,116363,116363
232204,232204,232204
231889,231889,231889
193063,193063,193063
193063,193063,193063
232204,232204,232204
193063,193063,193063
012946,012946,012946
038506,038506,038506
212304,212304,212304
038506,038506,038506
038506,038506,038506
012946,012946,012946
012946,012946,012946
212161,212161,212161
212161,212161,212161
014383,014383,014383
072825,072825,072825
221818,221818,221818
221818,221818,221818
063265,063265,063265
037452,037452,037452
221818,221818,221818
608851,608851,608851
608851,608851,608851
148447,148447,148447
608851,608851,608851
608851,608851,608851
012946,012946,012946
012946,012946,012946
012946,012946,012946
038506,038506,038506
012946,012946,012946
012946,012946,012946
014383,014383,014383
214834,214834,214834
012946,012946,012946
237554,237554,237554
219972,219972,219972
032489,032489,032489
012946,012946,012946
038506,038506,038506
012946,012946,012946
012946,012946,012946
012946,012946,012946
072825,072825,072825
012946,012946,012946
212304,212304,212304
016681,016681,016681
016681,016681,016681
016681,016681,016681
016681,016681,016681
016681,016681,016681
223373,223373,223373
012946,012946,012946
014383,014383,014383
012946,012946,012946
012946,012946,012946
012946,012946,012946
038506,038506,038506
176599,176599,176599
176599,176599,176599
148550,148550,148550
128638,128638,128638
148550,148550,148550
227514,227514,227514
148550,148550,148550
227514,227514,227514
227514,227514,227514
128638,128638,128638
013401,013401,013401
148447,148447,148447
142319,142319,142319
142319,142319,142319
221818,221818,221818
025638,025638,025638
033902,033902,033902
025638,025638,025638
608858,608858,608858
606673,606673,606673
038506,038506,038506
012946,012946,012946
214834,214834,214834
038506,038506,038506
072825,072825,072825
038506,038506,038506
212161,212161,212161
212161,212161,212161
212161,212161,212161
212161,212161,212161
920850,920850,920850
193063,193063,193063
219972,219972,219972
128638,128638,128638
148550,148550,148550
227514,227514,227514
